Name,Also knows as,Status,Land Size (Hectares),Year of Designation/Completion,Ownership,Latitude,Longitude
Lagos Free Trade Zone,,Active/Operational,805,2002/2022,Private,6.42065,4.132758
Lekki Deep Seaport,,Active/Operational,90,2011/2020,Private/Public,6.429,4.009914
Airline Services EPZ,,Active/Operational,Unknown,2003/Unkown,Private,6.57396,3.323589
Snake Island International Free Trade Zone ,,Active/Operational,59,2005/Unknown,Unknown,6.424567,3.334585
Lagos Deep Offshore Logistics Base (LADOL),LADOL Free Zone/LADOL Base,Active/Operational,90,2001/2006,Unknown,6.431369,3.388751
Lekki Free Zone,,Active/Operational,16500,2008/2025,Private/Public,6.437879,3.957112
Nigerian Aviation Handling Company PLC (NAHCO),NAHCO Free Zone,Active/Operational,90,2005(1979)/,Private,6.567849,3.319739
Nigeria International Commerce City (Eko Atlantic),,Active/Operational,984,2003/Unknown,Private/Public,6.408852,3.413308
Oils Integrated Logistics Services Free Trade Zone,,Operational License Suspended,1000,2004/Unknown,Private,6.410913,3.388582
Ogogoro Industrial Park,,Under Construction,90,2014/Unknown,Unknown,6.502437,3.937136
Badagry Creek Integrated Park,,Under Construction,531,2014/Unknown,Unknown,6.398774,2.88304
Tomaro Industrial Park,,Under Construction,68,2017/Unknown,Unknown,6.425038,3.365498